Наименование мороженого	Масса порции,г	Единичный штрих-код / меняем на 	Срок хранения при t минус 18°С, не более	комментарий																																			
Мороженое пломбир шоколадный 	250	4607067938558	18 месяцев	брикет Вологодский пломбир 																																			
"Мороженое трёхслойное сливочное ванильное, с ароматом клубники и шоколадное ""Семейное"""	220	4607067934703	18 месяцев	Семейное 																																			
"Мороженое пломбир  ванильный ""Семейное"" "	220	4600625308206	18 месяцев	Семейное 																																			
Мороженое пломбир с чёрной смородиной «Вологодский пломбир»	250	4620032652716	18 месяцев	Вологодский пломбир																																			
Мороженое пломбир ванильный 	250	4620032652976	18 месяцев	СТМ Х5 Светаево 																																			
"Мороженое пломбир ""Вологодский пломбир"""	250	4607067937681	18 месяцев	брикет Вологодский пломбир																																			
Мороженое пломбир ванильный в вафлях 	80	4607067938015	12 месяцев	СТМ МЕТРО (Fine Life)																																			
Мороженое пломбир ванильный в вафлях 	80	4607067932556	18 месяцев	Филёвский																																			
"Мороженое с заменителем молочного жира ванильное в вафлях ""От Деда Мороза"""	80	4607067932532	18 месяцев	От Деда Мороза 																																			
"Мороженое с заменителем молочного жира крем-брюле в вафлях ""От Деда Мороза"""	80	4607067932549	18 месяцев	От Деда Мороза																																			
Мороженое пломбир крем-брюле в вафлях 	80	4607067932563	18 месяцев	Филёвский																																			
"Мороженое пломбир в печенье ""Вологодский пломбир"""	80	4620032651191	18 месяцев	Вологодский пломбир 																																			
"Мороженое пломбир в вафлях ""Вологодский пломбир"""	90	4607067938114	18 месяцев	Вологодский пломбир 																																			
"Мороженое пломбир с вареным сгущенным молоком в вафлях ""Вологодский пломбир"""	90	4620032651672	18 месяцев	Вологодский пломбир																																			
Мороженое пломбир с наполнителем с кусочками ягод «Чёрная смородина» в вафлях «Вологодский пломбир»	90	4620032651726	18 месяцев	Вологодский пломбир 																																			
Мороженое пломбир ванильный в вафлях 	80	4620032652914	18 месяцев	СТМ Х5 Светаево 																																			
"Мороженое пломбир ванильный с прослойками шоколадного топинга, декорированное шоколадной глазурью ""Жемчужина России"""	400	4607067933430	18 месяцев	Жемчужина России 																																			
"Мороженое двухслойное пломбир ванильный и с ароматом карамели с прослойками мягкой карамели, декорированное шоколадной глазурью и карамелизированным кешью  ""Жемчужина России"""	400	4607067934154	18 месяцев	Жемчужина России																																			
Мороженое молочное с клюквой	80	4620032652464	12 месяцев	шербет																																			
"Мороженое двухслойное с заменителем молочного жира ванильное и с ароматом клубники с клубничным наполнителем ""От Деда Мороза"" "	180	4607067934758	18 месяцев	От Деда Мороза																																			
"Мороженое двухслойное с заменителем молочного жира ванильное и шоколадное с шоколадным топпингом ""От Деда Мороза"" "	180	4607067934796	18 месяцев	От Деда Мороза 																																			
Замороженный взбитый десерт шербет из черной смородины	80	4620032652990	18 месяцев	СТМ Х5 Delibon 																																			
"Мороженое ""MiniMe"" молочное ванильное с наполнителем ""Черника"""	275	4620032651177	18 месяцев	"Ведро ""MiniMe"""																																			
"Мороженое ""MiniMe"" молочное ванильное с наполнителем ""Ананас"""	275	4620032651184	18 месяцев	"Ведро ""MiniMe"""																																			
"Десерт замороженный фруктовый ""MiniMe"" ""Сорбет манго"" с кусочками манго"	350	4620032651160	18 месяцев	"Ведро ""MiniMe"""																																			
"Десерт взбитый замороженный фруктовый ""Сорбет манго"" с кусочками манго"	320	4610080761232	12 месяцев	СТМ  Фреш Маркет Ведро манго																																			
"Мороженое ""Филевское"" пломбир с ароматом карамели с грецким орехом и мягкой карамелью"	550	4620032651085	18 месяцев	"Ведро ""Филевское"""																																			
"Мороженое ""Филевское"" пломбир с наполнителями «Вишня с кусочками миндаля» и «Вишня с корицей»"	550	4620032651375	12 месяцев	"Ведро ""Филевское"" "																																			
"Мороженое ""Филевское"" пломбир с ароматом бисквита с кусочками шоколадного печенья с шоколадным топпингом"	550	4620032651108	18 месяцев	"Ведро ""Филевское"""																																			
